dictionary,country,year,dimension,source,count
ombudsman,georgia,2018,liberal_rights,freedomhouse_freedom-world,3
human rights,georgia,2018,liberal_rights,freedomhouse_freedom-world,1
antidiscrimination,georgia,2018,liberal_rights,freedomhouse_freedom-world,1
gender,georgia,2018,liberal_rights,freedomhouse_freedom-world,2
sexual orientation,georgia,2018,liberal_rights,freedomhouse_freedom-world,1
lgbt,georgia,2018,liberal_rights,freedomhouse_freedom-world,1
union,georgia,2018,participatory,freedomhouse_freedom-world,2
samesex,georgia,2018,liberal_rights,freedomhouse_freedom-world,1
elected,serbia,2023,electoral,freedomhouse_freedom-world,4
vote,serbia,2023,electoral,freedomhouse_freedom-world,3
campaign,serbia,2023,electoral,freedomhouse_freedom-world,8
media,serbia,2023,media,freedomhouse_freedom-world,20
elections,serbia,2023,electoral,freedomhouse_freedom-world,16
electoral,serbia,2023,electoral,freedomhouse_freedom-world,13
representation,serbia,2023,electoral,freedomhouse_freedom-world,5
proportional representation,serbia,2023,electoral,freedomhouse_freedom-world,1
polarization,serbia,2023,participatory,freedomhouse_freedom-world,1
participated,serbia,2023,participatory,freedomhouse_freedom-world,2
election,serbia,2023,electoral,freedomhouse_freedom-world,5
the opposition,serbia,2023,electoral,freedomhouse_freedom-world,4
opposition parties,serbia,2023,electoral,freedomhouse_freedom-world,4
pluralism,serbia,2023,electoral,freedomhouse_freedom-world,2
ethnic,serbia,2023,liberal_rights,freedomhouse_freedom-world,5
minority,serbia,2023,liberal_rights,freedomhouse_freedom-world,4
turnout,serbia,2023,electoral,freedomhouse_freedom-world,2
votes,serbia,2023,electoral,freedomhouse_freedom-world,1
campaigns,serbia,2023,electoral,freedomhouse_freedom-world,5
civil society,serbia,2023,participatory,freedomhouse_freedom-world,2
minorities,serbia,2023,liberal_rights,freedomhouse_freedom-world,3
parliamentary seats,serbia,2023,electoral,freedomhouse_freedom-world,1
women,serbia,2023,liberal_rights,freedomhouse_freedom-world,3
gender,serbia,2023,liberal_rights,freedomhouse_freedom-world,1
lgbt,serbia,2023,liberal_rights,freedomhouse_freedom-world,6
mandate,serbia,2023,electoral,freedomhouse_freedom-world,1
prosecutors,serbia,2023,liberal_institution,freedomhouse_freedom-world,2
journalists,serbia,2023,media,freedomhouse_freedom-world,9
press,serbia,2023,media,freedomhouse_freedom-world,1
propaganda,serbia,2023,media,freedomhouse_freedom-world,1
news,serbia,2023,media,freedomhouse_freedom-world,1
protest,serbia,2023,participatory,freedomhouse_freedom-world,1
participate,serbia,2023,participatory,freedomhouse_freedom-world,1
political opposition,serbia,2023,electoral,freedomhouse_freedom-world,1
online,serbia,2023,media,freedomhouse_freedom-world,1
freedom of religion,serbia,2023,participatory,freedomhouse_freedom-world,1
free expression,serbia,2023,participatory,freedomhouse_freedom-world,1
demonstrations,serbia,2023,participatory,freedomhouse_freedom-world,4
freedom of assembly,serbia,2023,participatory,freedomhouse_freedom-world,2
protests,serbia,2023,participatory,freedomhouse_freedom-world,1
protesters,serbia,2023,participatory,freedomhouse_freedom-world,1
ngos,serbia,2023,participatory,freedomhouse_freedom-world,3
human rights,serbia,2023,liberal_rights,freedomhouse_freedom-world,6
unions,serbia,2023,participatory,freedomhouse_freedom-world,3
strike,serbia,2023,participatory,freedomhouse_freedom-world,1
union,serbia,2023,participatory,freedomhouse_freedom-world,3
strikes,serbia,2023,participatory,freedomhouse_freedom-world,1
judiciary,serbia,2023,liberal_institution,freedomhouse_freedom-world,1
judges,serbia,2023,liberal_institution,freedomhouse_freedom-world,2
independence of the judiciary,serbia,2023,liberal_institution,freedomhouse_freedom-world,1
due process,serbia,2023,liberal_institution,freedomhouse_freedom-world,1
discrimination,serbia,2023,liberal_rights,freedomhouse_freedom-world,2
legal remedies,serbia,2023,liberal_institution,freedomhouse_freedom-world,1
elected,serbia,2022,electoral,freedomhouse_freedom-world,4
election,serbia,2022,electoral,freedomhouse_freedom-world,5
vote,serbia,2022,electoral,freedomhouse_freedom-world,4
campaign,serbia,2022,electoral,freedomhouse_freedom-world,7
media,serbia,2022,media,freedomhouse_freedom-world,15
electoral,serbia,2022,electoral,freedomhouse_freedom-world,16
elections,serbia,2022,electoral,freedomhouse_freedom-world,13
representation,serbia,2022,electoral,freedomhouse_freedom-world,4
proportional representation,serbia,2022,electoral,freedomhouse_freedom-world,1
ethnic,serbia,2022,liberal_rights,freedomhouse_freedom-world,5
minority,serbia,2022,liberal_rights,freedomhouse_freedom-world,2
voting,serbia,2022,electoral,freedomhouse_freedom-world,1
the opposition,serbia,2022,electoral,freedomhouse_freedom-world,3
turnout,serbia,2022,electoral,freedomhouse_freedom-world,1
television,serbia,2022,media,freedomhouse_freedom-world,1
human rights,serbia,2022,liberal_rights,freedomhouse_freedom-world,4
gender,serbia,2022,liberal_rights,freedomhouse_freedom-world,2
opposition parties,serbia,2022,electoral,freedomhouse_freedom-world,5
campaigns,serbia,2022,electoral,freedomhouse_freedom-world,6
disinformation,serbia,2022,media,freedomhouse_freedom-world,1
civil society,serbia,2022,participatory,freedomhouse_freedom-world,2
minorities,serbia,2022,liberal_rights,freedomhouse_freedom-world,3
parliamentary seats,serbia,2022,electoral,freedomhouse_freedom-world,2
women,serbia,2022,liberal_rights,freedomhouse_freedom-world,4
lgbt,serbia,2022,liberal_rights,freedomhouse_freedom-world,4
prosecutors,serbia,2022,liberal_institution,freedomhouse_freedom-world,2
journalists,serbia,2022,media,freedomhouse_freedom-world,8
press,serbia,2022,media,freedomhouse_freedom-world,3
participate,serbia,2022,participatory,freedomhouse_freedom-world,1
political opposition,serbia,2022,electoral,freedomhouse_freedom-world,1
journalist,serbia,2022,media,freedomhouse_freedom-world,2
ngos,serbia,2022,participatory,freedomhouse_freedom-world,5
freedom of religion,serbia,2022,participatory,freedomhouse_freedom-world,1
free expression,serbia,2022,participatory,freedomhouse_freedom-world,1
protest,serbia,2022,participatory,freedomhouse_freedom-world,1
demonstrations,serbia,2022,participatory,freedomhouse_freedom-world,1
freedom of assembly,serbia,2022,participatory,freedomhouse_freedom-world,1
demonstrators,serbia,2022,participatory,freedomhouse_freedom-world,1
participants,serbia,2022,participatory,freedomhouse_freedom-world,1
protests,serbia,2022,participatory,freedomhouse_freedom-world,1
ngo,serbia,2022,participatory,freedomhouse_freedom-world,1
unions,serbia,2022,participatory,freedomhouse_freedom-world,1
strike,serbia,2022,participatory,freedomhouse_freedom-world,1
union,serbia,2022,participatory,freedomhouse_freedom-world,2
strikes,serbia,2022,participatory,freedomhouse_freedom-world,1
judiciary,serbia,2022,liberal_institution,freedomhouse_freedom-world,1
judges,serbia,2022,liberal_institution,freedomhouse_freedom-world,2
independence of the judiciary,serbia,2022,liberal_institution,freedomhouse_freedom-world,1
due process,serbia,2022,liberal_institution,freedomhouse_freedom-world,1
court,serbia,2022,liberal_institution,freedomhouse_freedom-world,3
discrimination,serbia,2022,liberal_rights,freedomhouse_freedom-world,2
legal remedies,serbia,2022,liberal_institution,freedomhouse_freedom-world,1
elected,georgia,2019,electoral,freedomhouse_freedom-world,5
electoral,georgia,2019,electoral,freedomhouse_freedom-world,6
election,georgia,2019,electoral,freedomhouse_freedom-world,4
vote,georgia,2019,electoral,freedomhouse_freedom-world,8
campaign,georgia,2019,electoral,freedomhouse_freedom-world,4
voting,georgia,2019,electoral,freedomhouse_freedom-world,3
representation,georgia,2019,electoral,freedomhouse_freedom-world,4
proportional representation,georgia,2019,electoral,freedomhouse_freedom-world,3
elections,georgia,2019,electoral,freedomhouse_freedom-world,10
contests,georgia,2019,electoral,freedomhouse_freedom-world,1
impartially,georgia,2019,liberal_institution,freedomhouse_freedom-world,1
courts,georgia,2019,liberal_institution,freedomhouse_freedom-world,2
impartiality,georgia,2019,liberal_institution,freedomhouse_freedom-world,1
opposition parties,georgia,2019,electoral,freedomhouse_freedom-world,1
civil society,georgia,2019,participatory,freedomhouse_freedom-world,7
women,georgia,2019,liberal_rights,freedomhouse_freedom-world,3
minority,georgia,2019,liberal_rights,freedomhouse_freedom-world,2
participating,georgia,2019,participatory,freedomhouse_freedom-world,1
demonstrated,georgia,2019,participatory,freedomhouse_freedom-world,1
judiciary,georgia,2019,liberal_institution,freedomhouse_freedom-world,1
media,georgia,2019,media,freedomhouse_freedom-world,3
freedom of information,georgia,2019,participatory,freedomhouse_freedom-world,1
access to information,georgia,2019,participatory,freedomhouse_freedom-world,1
television,georgia,2019,media,freedomhouse_freedom-world,1
court,georgia,2019,liberal_institution,freedomhouse_freedom-world,11
human rights,georgia,2019,liberal_rights,freedomhouse_freedom-world,4
ngos,georgia,2019,participatory,freedomhouse_freedom-world,5
internet,georgia,2019,media,freedomhouse_freedom-world,1
church,georgia,2019,liberal_rights,freedomhouse_freedom-world,1
freedom of religion,georgia,2019,participatory,freedomhouse_freedom-world,1
discrimination,georgia,2019,liberal_rights,freedomhouse_freedom-world,5
islamic,georgia,2019,liberal_rights,freedomhouse_freedom-world,2
online,georgia,2019,media,freedomhouse_freedom-world,1
freedom of expression,georgia,2019,participatory,freedomhouse_freedom-world,1
privacy,georgia,2019,media,freedomhouse_freedom-world,1
demonstrations,georgia,2019,participatory,freedomhouse_freedom-world,2
freedom of assembly,georgia,2019,participatory,freedomhouse_freedom-world,1
protest,georgia,2019,participatory,freedomhouse_freedom-world,2
protests,georgia,2019,participatory,freedomhouse_freedom-world,2
participants,georgia,2019,participatory,freedomhouse_freedom-world,1
strike,georgia,2019,participatory,freedomhouse_freedom-world,2
strikes,georgia,2019,participatory,freedomhouse_freedom-world,1
judges,georgia,2019,liberal_institution,freedomhouse_freedom-world,3
justice,georgia,2019,liberal_institution,freedomhouse_freedom-world,1
elects,georgia,2019,electoral,freedomhouse_freedom-world,1
due process,georgia,2019,liberal_institution,freedomhouse_freedom-world,1
prosecutor,georgia,2019,liberal_institution,freedomhouse_freedom-world,1
antidiscrimination,georgia,2019,liberal_rights,freedomhouse_freedom-world,1
gender,georgia,2019,liberal_rights,freedomhouse_freedom-world,2
sexual orientation,georgia,2019,liberal_rights,freedomhouse_freedom-world,1
lgbt,georgia,2019,liberal_rights,freedomhouse_freedom-world,1
legal framework,georgia,2019,liberal_institution,freedomhouse_freedom-world,1
union,georgia,2019,participatory,freedomhouse_freedom-world,1
unions,georgia,2019,participatory,freedomhouse_freedom-world,1
samesex,georgia,2019,liberal_rights,freedomhouse_freedom-world,1
elected,armenia,2022,electoral,freedomhouse_freedom-world,4
elections,armenia,2022,electoral,freedomhouse_freedom-world,18
majority of seats,armenia,2022,electoral,freedomhouse_freedom-world,2
contested,armenia,2022,electoral,freedomhouse_freedom-world,1
court,armenia,2022,liberal_institution,freedomhouse_freedom-world,3
election,armenia,2022,electoral,freedomhouse_freedom-world,6
the opposition,armenia,2022,electoral,freedomhouse_freedom-world,1
representation,armenia,2022,electoral,freedomhouse_freedom-world,3
proportional representation,armenia,2022,electoral,freedomhouse_freedom-world,2
ethnic,armenia,2022,liberal_rights,freedomhouse_freedom-world,5
minority,armenia,2022,liberal_rights,freedomhouse_freedom-world,2
opposition parties,armenia,2022,electoral,freedomhouse_freedom-world,1
vote,armenia,2022,electoral,freedomhouse_freedom-world,5
electoral,armenia,2022,electoral,freedomhouse_freedom-world,6
mandates,armenia,2022,electoral,freedomhouse_freedom-world,2
mandate,armenia,2022,electoral,freedomhouse_freedom-world,1
human rights,armenia,2022,liberal_rights,freedomhouse_freedom-world,6
parliamentary seats,armenia,2022,electoral,freedomhouse_freedom-world,1
campaign,armenia,2022,electoral,freedomhouse_freedom-world,1
minorities,armenia,2022,liberal_rights,freedomhouse_freedom-world,2
lgbt,armenia,2022,liberal_rights,freedomhouse_freedom-world,2
women,armenia,2022,liberal_rights,freedomhouse_freedom-world,5
gender,armenia,2022,liberal_rights,freedomhouse_freedom-world,1
prosecutor,armenia,2022,liberal_institution,freedomhouse_freedom-world,1
ngos,armenia,2022,participatory,freedomhouse_freedom-world,5
online,armenia,2022,media,freedomhouse_freedom-world,1
media,armenia,2022,media,freedomhouse_freedom-world,5
journalistic,armenia,2022,media,freedomhouse_freedom-world,1
journalists,armenia,2022,media,freedomhouse_freedom-world,3
ngo,armenia,2022,participatory,freedomhouse_freedom-world,1
freedom of expression,armenia,2022,participatory,freedomhouse_freedom-world,2
free expression,armenia,2022,participatory,freedomhouse_freedom-world,1
church,armenia,2022,liberal_rights,freedomhouse_freedom-world,2
discrimination,armenia,2022,liberal_rights,freedomhouse_freedom-world,3
judiciary,armenia,2022,liberal_institution,freedomhouse_freedom-world,2
defamation,armenia,2022,media,freedomhouse_freedom-world,1
protests,armenia,2022,participatory,freedomhouse_freedom-world,2
protesters,armenia,2022,participatory,freedomhouse_freedom-world,1
demonstrations,armenia,2022,participatory,freedomhouse_freedom-world,1
civil society,armenia,2022,participatory,freedomhouse_freedom-world,1
unions,armenia,2022,participatory,freedomhouse_freedom-world,1
strike,armenia,2022,participatory,freedomhouse_freedom-world,1
union,armenia,2022,participatory,freedomhouse_freedom-world,2
courts,armenia,2022,liberal_institution,freedomhouse_freedom-world,1
judges,armenia,2022,liberal_institution,freedomhouse_freedom-world,1
prosecutors,armenia,2022,liberal_institution,freedomhouse_freedom-world,1
due process,armenia,2022,liberal_institution,freedomhouse_freedom-world,1
samesex,armenia,2022,liberal_rights,freedomhouse_freedom-world,1
antidiscrimination,armenia,2022,liberal_rights,freedomhouse_freedom-world,1
ombudsman,armenia,2022,liberal_rights,freedomhouse_freedom-world,2
participating,armenia,2022,participatory,freedomhouse_freedom-world,1
elected,ukraine,2020,electoral,freedomhouse_freedom-world,5
election,ukraine,2020,electoral,freedomhouse_freedom-world,6
vote,ukraine,2020,electoral,freedomhouse_freedom-world,5
votes,ukraine,2020,electoral,freedomhouse_freedom-world,1
representation,ukraine,2020,electoral,freedomhouse_freedom-world,3
proportional representation,ukraine,2020,electoral,freedomhouse_freedom-world,2
elections,ukraine,2020,electoral,freedomhouse_freedom-world,8
the opposition,ukraine,2020,electoral,freedomhouse_freedom-world,2
voting,ukraine,2020,electoral,freedomhouse_freedom-world,5
votebuying,ukraine,2020,electoral,freedomhouse_freedom-world,2
electoral,ukraine,2020,electoral,freedomhouse_freedom-world,5
courts,ukraine,2020,liberal_institution,freedomhouse_freedom-world,3
majority of seats,ukraine,2020,electoral,freedomhouse_freedom-world,1
participation,ukraine,2020,participatory,freedomhouse_freedom-world,2
women,ukraine,2020,liberal_rights,freedomhouse_freedom-world,6
minority,ukraine,2020,liberal_rights,freedomhouse_freedom-world,3
discrimination,ukraine,2020,liberal_rights,freedomhouse_freedom-world,7
roma,ukraine,2020,liberal_rights,freedomhouse_freedom-world,2
lgbt,ukraine,2020,liberal_rights,freedomhouse_freedom-world,5
mandates,ukraine,2020,electoral,freedomhouse_freedom-world,1
civil society,ukraine,2020,participatory,freedomhouse_freedom-world,2
court,ukraine,2020,liberal_institution,freedomhouse_freedom-world,4
freedom of information,ukraine,2020,participatory,freedomhouse_freedom-world,1
media,ukraine,2020,media,freedomhouse_freedom-world,4
pluralism,ukraine,2020,electoral,freedomhouse_freedom-world,2
journalists,ukraine,2020,media,freedomhouse_freedom-world,4
news,ukraine,2020,media,freedomhouse_freedom-world,2
journalist,ukraine,2020,media,freedomhouse_freedom-world,2
journalistic,ukraine,2020,media,freedomhouse_freedom-world,1
cyberattacks,ukraine,2020,media,freedomhouse_freedom-world,1
church,ukraine,2020,liberal_rights,freedomhouse_freedom-world,8
union,ukraine,2020,participatory,freedomhouse_freedom-world,2
mandate,ukraine,2020,electoral,freedomhouse_freedom-world,1
polarizing,ukraine,2020,participatory,freedomhouse_freedom-world,1
demonstrations,ukraine,2020,participatory,freedomhouse_freedom-world,2
freedom of assembly,ukraine,2020,participatory,freedomhouse_freedom-world,1
participants,ukraine,2020,participatory,freedomhouse_freedom-world,1
ngos,ukraine,2020,participatory,freedomhouse_freedom-world,2
justice,ukraine,2020,liberal_institution,freedomhouse_freedom-world,3
civil liberties,ukraine,2020,liberal_rights,freedomhouse_freedom-world,1
unions,ukraine,2020,participatory,freedomhouse_freedom-world,1
strikes,ukraine,2020,participatory,freedomhouse_freedom-world,1
protests,ukraine,2020,participatory,freedomhouse_freedom-world,2
due process,ukraine,2020,liberal_institution,freedomhouse_freedom-world,1
protesters,ukraine,2020,participatory,freedomhouse_freedom-world,1
gender,ukraine,2020,liberal_rights,freedomhouse_freedom-world,2
discriminate,ukraine,2020,liberal_rights,freedomhouse_freedom-world,1
samesex,ukraine,2020,liberal_rights,freedomhouse_freedom-world,1
elected,andorra,2020,electoral,freedomhouse_freedom-world,5
elections,andorra,2020,electoral,freedomhouse_freedom-world,9
liberal,andorra,2020,liberal_rights,freedomhouse_freedom-world,1
petit,andorra,2020,participatory,freedomhouse_freedom-world,1
voting,andorra,2020,electoral,freedomhouse_freedom-world,1
liberals,andorra,2020,liberal_rights,freedomhouse_freedom-world,1
electoral,andorra,2020,electoral,freedomhouse_freedom-world,2
campaign,andorra,2020,electoral,freedomhouse_freedom-world,2
impartially,andorra,2020,liberal_institution,freedomhouse_freedom-world,1
opposition parties,andorra,2020,electoral,freedomhouse_freedom-world,1
vote,andorra,2020,electoral,freedomhouse_freedom-world,1
participation,andorra,2020,participatory,freedomhouse_freedom-world,1
women,andorra,2020,liberal_rights,freedomhouse_freedom-world,3
lgbt,andorra,2020,liberal_rights,freedomhouse_freedom-world,1
participate,andorra,2020,participatory,freedomhouse_freedom-world,1
pressing,andorra,2020,media,freedomhouse_freedom-world,1
online,andorra,2020,media,freedomhouse_freedom-world,2
newspapers,andorra,2020,media,freedomhouse_freedom-world,1
television,andorra,2020,media,freedomhouse_freedom-world,1
media,andorra,2020,media,freedomhouse_freedom-world,2
press,andorra,2020,media,freedomhouse_freedom-world,1
church,andorra,2020,liberal_rights,freedomhouse_freedom-world,1
freedom of religion,andorra,2020,participatory,freedomhouse_freedom-world,1
muslim,andorra,2020,liberal_rights,freedomhouse_freedom-world,2
muslims,andorra,2020,liberal_rights,freedomhouse_freedom-world,1
freedom of assembly,andorra,2020,participatory,freedomhouse_freedom-world,1
demonstrations,andorra,2020,participatory,freedomhouse_freedom-world,1
protests,andorra,2020,participatory,freedomhouse_freedom-world,1
participants,andorra,2020,participatory,freedomhouse_freedom-world,1
human rights,andorra,2020,liberal_rights,freedomhouse_freedom-world,1
unionize,andorra,2020,participatory,freedomhouse_freedom-world,1
strike,andorra,2020,participatory,freedomhouse_freedom-world,3
unions,andorra,2020,participatory,freedomhouse_freedom-world,2
political opposition,andorra,2020,electoral,freedomhouse_freedom-world,1
discrimination,andorra,2020,liberal_rights,freedomhouse_freedom-world,3
protest,andorra,2020,participatory,freedomhouse_freedom-world,1
judiciary,andorra,2020,liberal_institution,freedomhouse_freedom-world,1
impartial,andorra,2020,liberal_institution,freedomhouse_freedom-world,1
judges,andorra,2020,liberal_institution,freedomhouse_freedom-world,2
justice,andorra,2020,liberal_institution,freedomhouse_freedom-world,2
due process,andorra,2020,liberal_institution,freedomhouse_freedom-world,1
arbitrary arrest,andorra,2020,liberal_institution,freedomhouse_freedom-world,1
gender,andorra,2020,liberal_rights,freedomhouse_freedom-world,3
ethnicity,andorra,2020,liberal_rights,freedomhouse_freedom-world,1
sexual orientation,andorra,2020,liberal_rights,freedomhouse_freedom-world,1
refugees,andorra,2020,liberal_rights,freedomhouse_freedom-world,1
asylum,andorra,2020,liberal_rights,freedomhouse_freedom-world,2
refugee,andorra,2020,liberal_rights,freedomhouse_freedom-world,1
samesex,andorra,2020,liberal_rights,freedomhouse_freedom-world,1
elected,andorra,2022,electoral,freedomhouse_freedom-world,6
elections,andorra,2022,electoral,freedomhouse_freedom-world,9
voting,andorra,2022,electoral,freedomhouse_freedom-world,1
liberals,andorra,2022,liberal_rights,freedomhouse_freedom-world,1
electoral,andorra,2022,electoral,freedomhouse_freedom-world,2
campaign,andorra,2022,electoral,freedomhouse_freedom-world,1
impartially,andorra,2022,liberal_institution,freedomhouse_freedom-world,1
opposition parties,andorra,2022,electoral,freedomhouse_freedom-world,1
vote,andorra,2022,electoral,freedomhouse_freedom-world,1
participation,andorra,2022,participatory,freedomhouse_freedom-world,1
women,andorra,2022,liberal_rights,freedomhouse_freedom-world,6
lgbt,andorra,2022,liberal_rights,freedomhouse_freedom-world,1
participate,andorra,2022,participatory,freedomhouse_freedom-world,1
pressing,andorra,2022,media,freedomhouse_freedom-world,1
online,andorra,2022,media,freedomhouse_freedom-world,2
newspapers,andorra,2022,media,freedomhouse_freedom-world,1
television,andorra,2022,media,freedomhouse_freedom-world,1
media,andorra,2022,media,freedomhouse_freedom-world,3
press,andorra,2022,media,freedomhouse_freedom-world,1
defamation,andorra,2022,media,freedomhouse_freedom-world,1
church,andorra,2022,liberal_rights,freedomhouse_freedom-world,1
freedom of religion,andorra,2022,participatory,freedomhouse_freedom-world,1
muslim,andorra,2022,liberal_rights,freedomhouse_freedom-world,2
muslims,andorra,2022,liberal_rights,freedomhouse_freedom-world,1
slander,andorra,2022,media,freedomhouse_freedom-world,3
human rights,andorra,2022,liberal_rights,freedomhouse_freedom-world,2
freedom of expression,andorra,2022,participatory,freedomhouse_freedom-world,1
freedom of assembly,andorra,2022,participatory,freedomhouse_freedom-world,1
demonstrations,andorra,2022,participatory,freedomhouse_freedom-world,1
protests,andorra,2022,participatory,freedomhouse_freedom-world,1
participants,andorra,2022,participatory,freedomhouse_freedom-world,1
ngos,andorra,2022,participatory,freedomhouse_freedom-world,1
slandering,andorra,2022,media,freedomhouse_freedom-world,1
unionize,andorra,2022,participatory,freedomhouse_freedom-world,1
strike,andorra,2022,participatory,freedomhouse_freedom-world,3
unions,andorra,2022,participatory,freedomhouse_freedom-world,2
political opposition,andorra,2022,electoral,freedomhouse_freedom-world,1
discrimination,andorra,2022,liberal_rights,freedomhouse_freedom-world,4
protest,andorra,2022,participatory,freedomhouse_freedom-world,1
judiciary,andorra,2022,liberal_institution,freedomhouse_freedom-world,1
impartial,andorra,2022,liberal_institution,freedomhouse_freedom-world,1
judges,andorra,2022,liberal_institution,freedomhouse_freedom-world,2
justice,andorra,2022,liberal_institution,freedomhouse_freedom-world,2
due process,andorra,2022,liberal_institution,freedomhouse_freedom-world,1
arbitrary arrest,andorra,2022,liberal_institution,freedomhouse_freedom-world,1
gender,andorra,2022,liberal_rights,freedomhouse_freedom-world,3
ethnicity,andorra,2022,liberal_rights,freedomhouse_freedom-world,1
sexual orientation,andorra,2022,liberal_rights,freedomhouse_freedom-world,1
refugees,andorra,2022,liberal_rights,freedomhouse_freedom-world,1
asylum,andorra,2022,liberal_rights,freedomhouse_freedom-world,2
refugee,andorra,2022,liberal_rights,freedomhouse_freedom-world,1
samesex,andorra,2022,liberal_rights,freedomhouse_freedom-world,2
elected,turkey,2018,electoral,freedomhouse_freedom-world,6
vote,turkey,2018,electoral,freedomhouse_freedom-world,7
election,turkey,2018,electoral,freedomhouse_freedom-world,2
campaign,turkey,2018,electoral,freedomhouse_freedom-world,7
media,turkey,2018,media,freedomhouse_freedom-world,8
judges,turkey,2018,liberal_institution,freedomhouse_freedom-world,7
prosecutors,turkey,2018,liberal_institution,freedomhouse_freedom-world,3
referendum,turkey,2018,participatory,freedomhouse_freedom-world,6
opposition parties,turkey,2018,electoral,freedomhouse_freedom-world,2
votes,turkey,2018,electoral,freedomhouse_freedom-world,1
representation,turkey,2018,electoral,freedomhouse_freedom-world,2
proportional representation,turkey,2018,electoral,freedomhouse_freedom-world,1
elections,turkey,2018,electoral,freedomhouse_freedom-world,5
electoral,turkey,2018,electoral,freedomhouse_freedom-world,2
campaigned,turkey,2018,electoral,freedomhouse_freedom-world,1
censorship,turkey,2018,media,freedomhouse_freedom-world,1
television,turkey,2018,media,freedomhouse_freedom-world,2
voting,turkey,2018,electoral,freedomhouse_freedom-world,2
impartial,turkey,2018,liberal_institution,freedomhouse_freedom-world,1
the opposition,turkey,2018,electoral,freedomhouse_freedom-world,2
judiciary,turkey,2018,liberal_institution,freedomhouse_freedom-world,1
courts,turkey,2018,liberal_institution,freedomhouse_freedom-world,1
opposition party,turkey,2018,electoral,freedomhouse_freedom-world,2
journalists,turkey,2018,media,freedomhouse_freedom-world,5
court,turkey,2018,liberal_institution,freedomhouse_freedom-world,3
muslims,turkey,2018,liberal_rights,freedomhouse_freedom-world,1
minority,turkey,2018,liberal_rights,freedomhouse_freedom-world,3
discrimination,turkey,2018,liberal_rights,freedomhouse_freedom-world,5
civil liberties,turkey,2018,liberal_rights,freedomhouse_freedom-world,1
ngos,turkey,2018,participatory,freedomhouse_freedom-world,3
civil society,turkey,2018,participatory,freedomhouse_freedom-world,3
newspapers,turkey,2018,media,freedomhouse_freedom-world,1
websites,turkey,2018,media,freedomhouse_freedom-world,1
news,turkey,2018,media,freedomhouse_freedom-world,1
online,turkey,2018,media,freedomhouse_freedom-world,2
islam,turkey,2018,liberal_rights,freedomhouse_freedom-world,2
freedom of religion,turkey,2018,participatory,freedomhouse_freedom-world,1
minorities,turkey,2018,liberal_rights,freedomhouse_freedom-world,1
islamic,turkey,2018,liberal_rights,freedomhouse_freedom-world,2
freedom of assembly,turkey,2018,participatory,freedomhouse_freedom-world,1
lgbt,turkey,2018,liberal_rights,freedomhouse_freedom-world,2
protests,turkey,2018,participatory,freedomhouse_freedom-world,2
demonstrations,turkey,2018,participatory,freedomhouse_freedom-world,1
protest,turkey,2018,participatory,freedomhouse_freedom-world,1
demonstration,turkey,2018,participatory,freedomhouse_freedom-world,1
refugees,turkey,2018,liberal_rights,freedomhouse_freedom-world,3
human rights,turkey,2018,liberal_rights,freedomhouse_freedom-world,3
union,turkey,2018,participatory,freedomhouse_freedom-world,1
strike,turkey,2018,participatory,freedomhouse_freedom-world,1
unions,turkey,2018,participatory,freedomhouse_freedom-world,3
due process,turkey,2018,liberal_institution,freedomhouse_freedom-world,2
women,turkey,2018,liberal_rights,freedomhouse_freedom-world,1
ethnic,turkey,2018,liberal_rights,freedomhouse_freedom-world,1
gender,turkey,2018,liberal_rights,freedomhouse_freedom-world,2
refugee,turkey,2018,liberal_rights,freedomhouse_freedom-world,2
samesex,turkey,2018,liberal_rights,freedomhouse_freedom-world,1
sexual orientation,turkey,2018,liberal_rights,freedomhouse_freedom-world,1
muslim,turkey,2018,liberal_rights,freedomhouse_freedom-world,1
elections,spain,2021,electoral,freedomhouse_freedom-world,10
votes,spain,2021,electoral,freedomhouse_freedom-world,1
minority,spain,2021,liberal_rights,freedomhouse_freedom-world,4
vote,spain,2021,electoral,freedomhouse_freedom-world,4
plurality,spain,2021,electoral,freedomhouse_freedom-world,2
elected,spain,2021,electoral,freedomhouse_freedom-world,5
voting,spain,2021,electoral,freedomhouse_freedom-world,2
electoral,spain,2021,electoral,freedomhouse_freedom-world,4
legal framework,spain,2021,liberal_institution,freedomhouse_freedom-world,2
referendum,spain,2021,participatory,freedomhouse_freedom-world,4
courts,spain,2021,liberal_institution,freedomhouse_freedom-world,4
free to organize,spain,2021,participatory,freedomhouse_freedom-world,2
disinformation,spain,2021,media,freedomhouse_freedom-world,1
women,spain,2021,liberal_rights,freedomhouse_freedom-world,5
minorities,spain,2021,liberal_rights,freedomhouse_freedom-world,2
court,spain,2021,liberal_institution,freedomhouse_freedom-world,19
justice,spain,2021,liberal_institution,freedomhouse_freedom-world,1
union,spain,2021,participatory,freedomhouse_freedom-world,2
mandate,spain,2021,electoral,freedomhouse_freedom-world,1
freedom of information,spain,2021,participatory,freedomhouse_freedom-world,1
civil society,spain,2021,participatory,freedomhouse_freedom-world,4
access to information,spain,2021,participatory,freedomhouse_freedom-world,1
press,spain,2021,media,freedomhouse_freedom-world,1
media,spain,2021,media,freedomhouse_freedom-world,8
online,spain,2021,media,freedomhouse_freedom-world,1
journalists,spain,2021,media,freedomhouse_freedom-world,3
